"genotype" "clonalcolony" "identifier"
"FY4-5" "A5-110316" 98783
"FY4-5" "A5-110316" 98784
"FY4-5" "A5-110316" 98792
"FY4-5" "A5-110316" 98794
"FY4-5" "A5-110316" 98798
"FY4-5" "A5-110316" 98824
"FY4-5" "A5-110316" 98899
"FY4-5" "A5-110316" 98900
"FY4-5" "A5-110316" 98911
"FY4-5" "A5-110316" 98916
"FY4-5" "A5-110316" 98920
"FY4-5" "A5-110316" 98924
"FY4-5" "A5-110316" 98925
"FY4-5" "A5-110316" 98928
"FY4-5" "A5-110316" 98951
"FY4-5" "A5-110316" 98952
"FY4-5" "A5-110316" 98955
"FY4-5" "A5-110316" 98968
"FY4-5" "A5-110316" 98970
"FY4-5" "A5-110316" 98976
"FY4-5" "A6-110316" 97026
"FY4-5" "A6-110316" 97028
"FY4-5" "A6-110316" 97033
"FY4-5" "A6-110316" 97034
"FY4-5" "A6-110316" 97035
"FY4-5" "A6-110316" 97036
"FY4-5" "A6-110316" 97037
"FY4-5" "A6-110316" 97039
"FY4-5" "A6-110316" 97040
"FY4-5" "A6-110316" 97041
"FY4-5" "A6-110316" 97044
"FY4-5" "A6-110316" 97045
"FY4-5" "A6-110316" 97046
"FY4-5" "A6-110316" 97047
"FY4-5" "A6-110316" 97048
"FY4-5" "A6-110316" 97049
"FY4-5" "A6-110316" 97050
"FY4-5" "A6-110316" 97051
"FY4-5" "A6-110316" 97055
"FY4-5" "A6-110316" 97065
"FY4-5" "A6-110316" 97066
"FY4-5" "A6-110316" 97067
"FY4-5" "A6-110316" 97068
"FY4-5" "A6-110316" 97069
"FY4-5" "A6-110316" 97070
"FY4-5" "A6-110316" 97071
"FY4-5" "A6-110316" 97072
"FY4-5" "A6-110316" 97073
"FY4-5" "A6-110316" 97075
"FY4-5" "A6-110316" 97077
"FY4-5" "A6-110316" 97078
"FY4-5" "A6-110316" 97079
"FY4-5" "A6-110316" 97080
"FY4-5" "A6-110316" 97081
"FY4-5" "A6-110316" 97084
"FY4-5" "A6-110316" 97085
"FY4-5" "A6-110316" 97086
"FY4-5" "A6-110316" 97090
"FY4-5" "A6-110316" 97097
"FY4-5" "A6-110316" 97098
"FY4-5" "A6-110316" 97099
"FY4-5" "A6-110316" 97100
"FY4-5" "A6-110316" 97101
"FY4-5" "A6-110316" 97102
"FY4-5" "A6-110316" 97103
"FY4-5" "A6-110316" 97104
"FY4-5" "A6-110316" 97105
"FY4-5" "A6-110316" 97106
"FY4-5" "A6-110316" 97108
"FY4-5" "A6-110316" 97113
"FY4-5" "A6-110316" 97116
