Culture	Time	TotalArea	Number
R06C10	1321415690.000000	306417.500000	99
R06C10	1321416834.000000	326387.500000	90
R06C10	1321418008.000000	346794.000000	89
R06C10	1321419164.000000	367653.000000	86
R06C10	1321420318.000000	392545.000000	84
R06C10	1321421462.000000	417944.000000	82
R06C10	1321422610.000000	442225.000000	79
R06C10	1321423750.000000	462133.000000	77
R06C10	1321424894.000000	487644.000000	80
R06C10	1321426040.000000	512594.000000	77
R06C10	1321427212.000000	538013.500000	64
R06C10	1321428350.000000	564734.500000	68
R06C10	1321429492.000000	588958.000000	67
R06C10	1321430636.000000	615324.500000	64
R06C10	1321431782.000000	643452.500000	56
R06C10	1321432934.000000	667756.500000	59
R06C10	1321434108.000000	691812.000000	59
R06C10	1321435258.000000	720729.500000	49
R06C10	1321436398.000000	737848.000000	46
R06C10	1321437540.000000	766299.000000	47
R06C10	1321438692.000000	788606.500000	48
R06C10	1321439844.000000	808978.000000	40
R06C10	1321441010.000000	831079.500000	40
R06C10	1321442168.000000	855713.000000	38
R06C10	1321443314.000000	878678.000000	35
R06C10	1321444462.000000	893936.000000	38
R06C10	1321445610.000000	936770.500000	36
R06C10	1321446764.000000	950722.500000	33
R06C10	1321447926.000000	963080.500000	30
R06C10	1321449096.000000	983798.500000	28
R06C10	1321450246.000000	997984.000000	28
R06C10	1321451396.000000	1008286.000000	26
R06C10	1321452544.000000	1024130.500000	30
R06C10	1321453696.000000	1031937.500000	28
R06C10	1321454854.000000	1392783.500000	1
R06C10	1321456054.000000	1392840.500000	1
R06C10	1321457222.000000	1392797.000000	1
R06C10	1321458396.000000	1392884.000000	1
R06C10	1321459566.000000	1392863.500000	1
R06C10	1321460738.000000	1392785.000000	1
R06C10	1321461910.000000	1392757.000000	1
R05C03	1321349660.000000	6936.500000	120
R05C03	1321350786.000000	7965.000000	127
R05C03	1321351900.000000	8393.500000	114
R05C03	1321353024.000000	8945.500000	124
R05C03	1321354144.000000	8996.000000	125
R05C03	1321355270.000000	9062.500000	123
R05C03	1321356396.000000	10252.000000	120
R05C03	1321357526.000000	10641.000000	121
R05C03	1321358654.000000	10285.500000	112
R05C03	1321359782.000000	11027.500000	128
R05C03	1321360906.000000	9133.500000	153
R05C03	1321362038.000000	12924.500000	122
R05C03	1321363160.000000	12810.000000	118
R05C03	1321364290.000000	10232.500000	153
R05C03	1321365430.000000	14779.500000	115
R05C03	1321366562.000000	11070.500000	150
R05C03	1321367694.000000	17787.000000	126
R05C03	1321368816.000000	13641.500000	151
R05C03	1321369946.000000	14656.500000	156
R05C03	1321371078.000000	15075.500000	151
R05C03	1321372212.000000	16051.000000	152
R05C03	1321373356.000000	22126.500000	111
R05C03	1321374494.000000	24882.500000	112
R05C03	1321375626.000000	20878.500000	149
R05C03	1321376764.000000	28249.000000	101
R05C03	1321377902.000000	24011.000000	138
R05C03	1321379036.000000	34329.500000	110
R05C03	1321380162.000000	29107.000000	138
R05C03	1321381314.000000	39384.000000	112
R05C03	1321382446.000000	34906.500000	134
R05C03	1321383582.000000	46081.000000	103
R05C03	1321384720.000000	47544.500000	110
R05C03	1321385850.000000	53878.000000	111
R05C03	1321386982.000000	55460.500000	106
R05C03	1321388112.000000	61358.500000	104
R05C03	1321389256.000000	64090.500000	103
R05C03	1321390392.000000	72340.000000	104
R05C03	1321391526.000000	78743.500000	107
R05C03	1321392666.000000	82344.000000	101
R05C03	1321393804.000000	91067.000000	103
R05C03	1321394946.000000	98822.500000	101
R05C03	1321396090.000000	107168.000000	97
R05C03	1321397246.000000	115711.000000	100
R05C03	1321398392.000000	126553.500000	98
R05C03	1321399532.000000	138914.000000	95
R05C03	1321400668.000000	145965.000000	97
R05C03	1321401808.000000	161472.000000	94
R05C03	1321402946.000000	174528.500000	92
R05C03	1321404096.000000	191443.500000	87
R05C03	1321405244.000000	208067.500000	81
R05C03	1321406390.000000	223124.500000	79
R05C03	1321407536.000000	243505.000000	79
R05C03	1321408674.000000	262035.000000	77
R05C03	1321409818.000000	287734.000000	77
R05C03	1321410950.000000	306492.000000	72
R05C03	1321412118.000000	329854.500000	70
R05C03	1321413266.000000	349528.000000	65
R05C03	1321414408.000000	376791.500000	66
R05C03	1321415550.000000	408294.000000	59
R05C03	1321416696.000000	436695.500000	55
R05C03	1321417870.000000	469913.000000	54
