Library	ORF 	Plate	Row	Column	Notes
LiqCurve	HIS3_1	1	2	9	
LiqCurve	HIS3_2	1	3	9	
LiqCurve	HIS3_2	1	4	9	
LiqCurve	HIS3_3	1	5	9	
LiqCurve	HIS3_3	1	6	9	
LiqCurve	HIS3_4	1	7	9	
LiqCurve	HIS3_4	1	8	9	
LiqCurve	HIS3_5	1	9	9	
LiqCurve	HIS3_5	1	10	9	
LiqCurve	HIS3_6	1	11	9	
LiqCurve	HIS3_6	1	12	9	
LiqCurve	HIS3_7	1	13	9	
LiqCurve	HIS3_7	1	14	9	
LiqCurve	HIS3_8	1	15	9	
LiqCurve	HIS3_8	1	16	9	
LiqCurve	HIS3_1	1	1	10	
LiqCurve	HIS3_1	1	2	10	
LiqCurve	HIS3_2	1	3	10	
LiqCurve	HIS3_2	1	4	10	
LiqCurve	HIS3_3	1	5	10	
LiqCurve	HIS3_3	1	6	10	
LiqCurve	HIS3_4	1	7	10	
LiqCurve	HIS3_4	1	8	10	
LiqCurve	HIS3_5	1	9	10	
LiqCurve	HIS3_5	1	10	10	
LiqCurve	HIS3_6	1	11	10	
LiqCurve	HIS3_6	1	12	10	
LiqCurve	HIS3_7	1	13	10	
LiqCurve	HIS3_7	1	14	10	
LiqCurve	HIS3_8	1	15	10	
LiqCurve	HIS3_8	1	16	10	
LiqCurve	HTZ1_1	1	1	11	
LiqCurve	HTZ1_1	1	2	11	
LiqCurve	HTZ1_2	1	3	11	
LiqCurve	HTZ1_2	1	4	11	
LiqCurve	HTZ1_3	1	5	11	
LiqCurve	HTZ1_3	1	6	11	
LiqCurve	HTZ1_4	1	7	11	
LiqCurve	HTZ1_4	1	8	11	
LiqCurve	HTZ1_5	1	9	11	
LiqCurve	HTZ1_5	1	10	11	
LiqCurve	HTZ1_6	1	11	11	
LiqCurve	HTZ1_6	1	12	11	
LiqCurve	HTZ1_7	1	13	11	
LiqCurve	HTZ1_7	1	14	11	
LiqCurve	HTZ1_8	1	15	11	
LiqCurve	HTZ1_8	1	16	11	
LiqCurve	HTZ1_1	1	1	12	
LiqCurve	HTZ1_1	1	2	12	
LiqCurve	HTZ1_2	1	3	12	
LiqCurve	HTZ1_2	1	4	12	
LiqCurve	HTZ1_3	1	5	12	
LiqCurve	HTZ1_3	1	6	12	
LiqCurve	HTZ1_4	1	7	12	
LiqCurve	HTZ1_4	1	8	12	
LiqCurve	HTZ1_5	1	9	12	
LiqCurve	HTZ1_5	1	10	12	
LiqCurve	HTZ1_6	1	11	12	
LiqCurve	HTZ1_6	1	12	12	
LiqCurve	HTZ1_7	1	13	12	
LiqCurve	HTZ1_7	1	14	12	
LiqCurve	HTZ1_8	1	15	12	
LiqCurve	HTZ1_8	1	16	12	
LiqCurve	HIS3_1	1	1	13	
LiqCurve	HIS3_1	1	2	13	
LiqCurve	HIS3_2	1	3	13	
LiqCurve	HIS3_2	1	4	13	
LiqCurve	HIS3_3	1	5	13	
LiqCurve	HIS3_3	1	6	13	
LiqCurve	HIS3_4	1	7	13	
LiqCurve	HIS3_4	1	8	13	
LiqCurve	HIS3_5	1	9	13	
LiqCurve	HIS3_5	1	10	13	
LiqCurve	HIS3_6	1	11	13	
LiqCurve	HIS3_6	1	12	13	
LiqCurve	HIS3_7	1	13	13	
LiqCurve	HIS3_7	1	14	13	
LiqCurve	HIS3_8	1	15	13	
LiqCurve	HIS3_8	1	16	13	
LiqCurve	HIS3_1	1	1	14	
LiqCurve	HIS3_1	1	2	14	
LiqCurve	HIS3_2	1	3	14	
LiqCurve	HIS3_2	1	4	14	
LiqCurve	HIS3_3	1	5	14	
LiqCurve	HIS3_3	1	6	14	
LiqCurve	HIS3_4	1	7	14	
LiqCurve	HIS3_4	1	8	14	
LiqCurve	HIS3_5	1	9	14	
LiqCurve	HIS3_5	1	10	14	
LiqCurve	HIS3_6	1	11	14	
LiqCurve	HIS3_6	1	12	14	
LiqCurve	HIS3_7	1	13	14	
