Culture	Time	TotalArea	Number
R03C04	1321446358.000000	52181.000000	50
R03C04	1321447512.000000	68280.000000	27
R03C04	1321448692.000000	1279189.500000	6
R03C04	1321449842.000000	1282845.000000	6
R03C04	1321450990.000000	1286157.500000	6
R03C04	1321452138.000000	1297246.000000	6
R03C04	1321453294.000000	1300483.500000	6
R03C04	1321454434.000000	1393290.500000	1
R03C04	1321455642.000000	1393275.000000	1
R03C04	1321456812.000000	1393228.000000	1
R03C04	1321457984.000000	1393271.000000	1
R03C04	1321459156.000000	1393230.500000	1
R03C04	1321460326.000000	1393240.500000	1
R03C04	1321461498.000000	1393239.500000	1
R03C05	1321349414.000000	11455.500000	158
R03C05	1321350544.000000	11805.500000	144
R03C05	1321351658.000000	11734.000000	148
R03C05	1321352780.000000	11204.000000	141
R03C05	1321353900.000000	12187.000000	144
R03C05	1321355026.000000	12511.500000	145
R03C05	1321356152.000000	12683.500000	146
R03C05	1321357276.000000	13225.500000	144
R03C05	1321358408.000000	12747.500000	151
R03C05	1321359536.000000	14134.000000	143
R03C05	1321360660.000000	13260.500000	147
R03C05	1321361790.000000	14535.000000	147
R03C05	1321362916.000000	14677.500000	145
R03C05	1321364044.000000	15544.000000	142
R03C05	1321365180.000000	17057.500000	139
R03C05	1321366316.000000	16450.000000	148
R03C05	1321367448.000000	19726.000000	143
R03C05	1321368574.000000	18014.000000	154
R03C05	1321369698.000000	19488.000000	147
R03C05	1321370832.000000	20616.500000	147
R03C05	1321371962.000000	21742.000000	149
R03C05	1321373102.000000	23137.000000	142
R03C05	1321374244.000000	25173.000000	146
R03C05	1321375380.000000	27051.500000	147
R03C05	1321376518.000000	28359.000000	148
R03C05	1321377656.000000	30415.500000	142
R03C05	1321378790.000000	30350.500000	149
R03C05	1321379916.000000	32534.000000	150
R03C05	1321381058.000000	34936.000000	142
R03C05	1321382200.000000	37307.000000	146
R03C05	1321383334.000000	40913.500000	137
R03C05	1321384474.000000	41174.500000	153
R03C05	1321385604.000000	44512.500000	137
R03C05	1321386734.000000	48249.000000	148
R03C05	1321387868.000000	51268.000000	146
R03C05	1321389008.000000	55412.500000	145
R03C05	1321390146.000000	59960.500000	138
R03C05	1321391280.000000	64138.000000	143
R03C05	1321392418.000000	69320.000000	132
R03C05	1321393558.000000	73787.000000	131
R03C05	1321394698.000000	80417.000000	137
R03C05	1321395842.000000	86602.000000	139
R03C05	1321396998.000000	94863.500000	130
R03C05	1321398146.000000	99065.000000	126
R03C05	1321399290.000000	108187.500000	126
R03C05	1321400424.000000	116151.000000	128
R03C05	1321401562.000000	127042.000000	119
R03C05	1321402698.000000	131817.500000	123
R03C05	1321403844.000000	144086.000000	125
R03C05	1321404998.000000	157214.000000	126
R03C05	1321406142.000000	168462.000000	131
R03C05	1321407292.000000	180284.000000	123
R03C05	1321408430.000000	196599.500000	121
R03C05	1321409574.000000	210425.500000	114
R03C05	1321410702.000000	226029.000000	106
R03C05	1321411870.000000	241336.000000	107
R03C05	1321413020.000000	258832.000000	111
R03C05	1321414160.000000	280762.000000	105
R03C05	1321415308.000000	297595.500000	110
R03C05	1321416450.000000	317336.000000	100
R03C05	1321417624.000000	336859.500000	97
R03C05	1321418768.000000	358390.500000	87
R03C05	1321419932.000000	380958.500000	85
R03C05	1321421078.000000	407120.000000	83
R03C05	1321422224.000000	427533.500000	83
R03C05	1321423368.000000	452927.000000	81
R03C05	1321424510.000000	481690.500000	78
R03C05	1321425652.000000	504779.500000	69
R03C05	1321426826.000000	531496.000000	68
R03C05	1321427970.000000	555500.000000	70
R03C05	1321429106.000000	584764.000000	59
R03C05	1321430252.000000	613128.500000	54
R03C05	1321431394.000000	639198.000000	56
R03C05	1321432546.000000	661946.500000	53
R03C05	1321433706.000000	691757.500000	50
R03C05	1321434870.000000	718182.000000	44
R03C05	1321436014.000000	744949.000000	41
R03C05	1321437156.000000	768720.000000	38
R03C05	1321438306.000000	793558.500000	37
R03C05	1321439456.000000	816283.500000	33
