ORFs	Genes	Inoc	Break	EarlyDT	LateDT
HTZ1_2	HTZ1	12765.2704486907	6.64171148940468	5.76182194979173	3.15353585332095
HIS3_2	HIS3	8740.93258165911	4.93575655480061	4.54820984619387	2.81996411944648
HIS3_2	HIS3	10953.5167057773	4.57695186619433	4.85397185266068	2.87493646022375
HTZ1_2	HTZ1	9443.33424675114	6.30155913522089	5.97540672896505	3.09302624078512
HTZ1_2	HTZ1	13762.4347175299	6.97037802664976	5.26707584012116	3.15353585332095
HIS3_2	HIS3	9844.97172885726	6.34869796324938	4.34847666599715	2.87136363115139
HIS3_2	HIS3	9031.11116180425	6.59029344094058	3.75689528758778	2.75495699745606
HTZ1_2	HTZ1	9383.09230006717	6.03390325972444	6.33011123799037	3.12228459711687
HTZ1_2	HTZ1	9985.72120321835	6.32283785374256	6.44788074939484	3.14637848642735
HIS3_2	HIS3	7438.7819576035	4.00846515563592	5.72375871643225	2.76595044118095
HIS3_2	HIS3	6008.1789465582	5.13429460563789	3.83377865353952	2.67108740100172
HTZ1_2	HTZ1	8527.23028270292	5.71385990127321	5.90414974923292	3.00584206660861
HTZ1_2	HTZ1	7968.89554741484	6.62058991392638	6.19988533595658	3.11386873566912
HIS3_3	HIS3	7548.77959387591	5.5038143875979	5.6815342668848	2.68765870709556
HIS3_3	HIS3	9047.30358670781	5.45247428575199	4.40933320966886	2.81309732370108
HTZ1_3	HTZ1	9164.80101512083	5.30883360866263	6.77563226353808	3.10689009663803
HTZ1_3	HTZ1	16449.5080909763	6.41325187899562	6.42993673988817	3.28661536538618
HIS3_3	HIS3	6625.89694593245	4.24003789279215	4.15306878705779	2.7257065692487
HIS3_3	HIS3	9168.05240410931	4.80644885509223	5.12303902852879	2.87732328999562
HTZ1_3	HTZ1	7789.96118750776	6.43477255083664	5.29119985160264	3.06973950646566
HTZ1_3	HTZ1	12426.2520591912	7.05216814844638	5.38994697169475	3.15066900254521
HIS3_3	HIS3	7404.99062972035	9.06224763807166	3.16650151009568	2.75605240779302
HIS3_3	HIS3	8864.97357010683	4.8815158173663	5.76182194979173	2.83844054283352
HTZ1_3	HTZ1	9647.5956367925	5.8866424515888	5.33600600892953	3.00975762292638
HTZ1_3	HTZ1	11438.6470736441	5.87291277195479	5.62163163471164	3.16072585754649
HIS3_3	HIS3	8092.41486612453	4.68419965089059	4.43472284427348	2.76815966677294
HTZ1_3	HTZ1	9576.23235002354	6.04180691765517	5.54961713819011	3.14923753094023
HTZ1_3	HTZ1	9413.46575905044	6.0898014410972	5.94465849536831	3.08476715870025
HIS3_4	HIS3	6539.95852023139	5.40114376620809	3.67133040550819	2.71715868506447
HIS3_4	HIS3	10812.6447157689	4.56784566565517	4.56919697139054	2.88691037301102
HTZ1_4	HTZ1	10558.7615308531	5.85421442718136	5.70022352434166	2.99028119309726
HTZ1_4	HTZ1	9486.66199175332	7.44884243995828	5.55851788740934	3.0163062687552
HIS3_4	HIS3	9915.70157127885	3.69733623205617	5.05946847124048	2.81996411944648
HIS3_4	HIS3	9926.35003725996	4.94576608732455	5.38994697169475	2.94330012976622
HTZ1_4	HTZ1	11550.318408874	6.49043149170673	4.69930291905048	3.01893371324018
HTZ1_4	HTZ1	15837.5434521815	6.50660139993418	6.78226204070397	3.16505561899518
HIS3_4	HIS3	8195.9682038831	13.1919100472446	3.32126104724459	3.05351180863412
HIS3_4	HIS3	7863.81143566666	4.58321946915528	4.08213887255563	2.80059466892907
HTZ1_4	HTZ1	8915.54341776176	4.84458906539373	6.10702361726824	3.00845130451365
HTZ1_4	HTZ1	18799.0263532909	11.7624701837972	5.20771735957885	3.15210177607979
HIS3_4	HIS3	8416.83506987131	5.19205818321869	3.90065942914995	2.72785195025559
HIS3_4	HIS3	7432.42822024909	3.69548406126943	4.44325115743555	2.68765870709556
HTZ1_4	HTZ1	9729.25551416455	5.73515602895141	5.47509621295375	3.11247050094273
HTZ1_4	HTZ1	12294.9941004881	5.55209846226915	6.08023842596443	3.06025245280329
HIS3_5	HIS3	10170.720841733	4.26097021608521	4.29992047493763	3.10549812078829
HIS3_5	HIS3	7532.46643147585	5.88251001542856	4.54224888964577	2.68142042769805
HTZ1_5	HTZ1	9772.64740362178	5.48033650295372	6.15037427293652	2.95207487461646
HTZ1_5	HTZ1	12600.437742343	5.6543753806421	6.34750165347935	2.95837465027719
HIS3_5	HIS3	6578.3651193987	4.90627447376101	3.8232056291227	2.69812059384953
HIS3_5	HIS3	6468.03261529313	5.22260057631664	3.74471734500241	2.71184342942076
HTZ1_5	HTZ1	10991.9959059182	5.34041989349247	5.41944629053906	2.9609020955145
HTZ1_5	HTZ1	14000.6635118958	6.22596907975793	6.41209232710403	2.99545021849587
HIS3_5	HIS3	4554.54198176777	6.67856730185404	3.33243836807666	2.68245812910196
HIS3_5	HIS3	4804.62800031813	5.32938353423314	3.27884191371781	2.71184342942076
HTZ1_5	HTZ1	6936.84425550773	6.92452887428881	4.5752289145871	2.88570849525373
HTZ1_5	HTZ1	8907.92278503388	5.10789767454649	5.57192267331146	2.86661364995842
HIS3_5	HIS3	6758.19454743379	3.94815590533057	4.04639334827756	2.70127506063891
HIS3_5	HIS3	6163.07438317265	5.06749732280037	3.4111573846454	2.77148013018771
HTZ1_5	HTZ1	9049.5728238893	6.17783454647938	4.62715073805037	2.91728611346778
HTZ1_5	HTZ1	12020.2568180982	6.23211141174213	5.07800132278348	2.89535163141163
