t0	Time	HIS3_2	HIS3_3	HIS3_4	HIS3_5	HTZ1_2	HTZ1_3	HTZ1_4	HTZ1_5
15/11/2011 10:10	15/11/2011 10:30	2210000	1900000	2380000	1750000	1500000	1290000	1200000	660000
15/11/2011 10:10	15/11/2011 11:35	3620000	3360000	3400000	3100000	1840000	2040000	1860000	1290000
15/11/2011 10:10	15/11/2011 12:45	5166666.667	5200000	6300000	5066666.667	4060000	5300000	4200000	3683333.333
15/11/2011 10:10	15/11/2011 13:42	11550000	10250000	11550000	9900000	9400000	8650000	9750000	7650000
15/11/2011 10:10	15/11/2011 14:25	17800000	21000000	16600000	15500000	8850000	9950000	8100000	9750000
15/11/2011 10:10	15/11/2011 15:10	28200000	26400000	21600000	20400000	22200000	18200000	16200000	12300000
15/11/2011 10:10	15/11/2011 15:54	40200000	42600000	52000000	27000000	23400000	22200000	39800000	43200000
15/11/2011 10:10	15/11/2011 17:06	64000000	50600000	67600000	51600000	26400000	38800000	39200000	33800000
