"K" "r"
8569.91315352126 0.33033810135746
10839.4572995683 0.33299617398474
12223.141040977 0.292110131690402
11225.9731350109 0.377049346877736
10462.6599267831 0.412470384723439
11748.1726853466 0.545374067227343
9186.14451656216 0.312189359161068
6830.542627486 0.394954989195955
6105.81123887734 0.224551796182735
9102.69510866414 0.193458087903282
10389.9306465152 0.208936221448545
9158.33859040201 0.199878765298297
11127.8380554063 0.268231974130057
12165.2600656565 0.292975161574487
11331.3172673816 0.270702413988327
11188.1167637728 0.292387823363389
12145.801445536 0.299870293406569
12459.6120536404 0.494296422708508
13031.9814776306 0.592831521326853
8746.59451422596 0.689454506312657
11802.6233209799 0.434538924860095
9547.3755553975 0.529568520252686
11102.1529612961 0.461409156461452
7488.15895887748 0.540359783455958
5655.95587323211 0.684000072647543
5883.29335643994 0.548705138959256
5439.04091979248 0.73140378051305
5096.95653416739 0.766144445450346
5770.28030184131 0.545157740504295
5750.15375661912 0.463633487064646
5034.2877890623 0.397659835181926
6027.53184070691 0.325666250294356
6244.96626217577 0.266591182706221
5638.80890202219 0.331304964122164
5747.44875005434 0.288183812922851
8070.85697240627 0.369899770516791
9517.96339141076 0.371811508186688
8765.20946196137 0.378854762465541
8193.14069305954 0.442327196590588
8839.33860707802 0.524619884254842
8712.9840944034 0.370637846781875
9517.04974149857 0.397960423127148
12323.7181015971 0.275456701016348
9757.15745251467 0.31612598885671
13381.950970082 0.478438836994868
18334.4747715099 0.436365225749055
15364.7122330172 0.488214688310264
16522.5901608126 0.462661969428488
19127.3859016615 0.721525741776357
19340.9795054561 0.733087452189389
19277.710540765 0.724748314450899
14895.5563811812 0.626348917108354
17245.3134982651 0.568721057606106
10309.4753058564 0.459011250101844
12515.8233424477 0.338558487492674
8372.45870480576 0.352125758177656
9198.44680954647 0.444082637538061
8635.23296730516 0.358050448709448
7674.63814179517 0.315156923155072
7565.70152743982 0.436179009171032
8537.01654303161 0.337216043020437
6965.46072896642 0.296044164814688
9919.16958139534 0.413502846964062
11001.3986331636 0.437029906841225
10681.1113263392 0.495492570859954
11727.7476614203 0.55362167629617
10232.1666252653 0.544125186804439
14465.9798852327 0.373077734890547
18338.7723774127 0.411257889912571
15862.9721017333 0.273218206176918
13270.21116 0.278565477963394
12641.4710956173 0.266837066221495
12203.3123962533 0.257615435875988
12520.3623352847 0.296804604634162
9256.81277901739 0.330083972377625
8243.54593691412 0.287457330009267
10633.7838678785 0.360840045597034
18931.6784377564 0.451108288052702
14234.5454051437 0.309991367580716
12029.8788364444 0.30530882629254
11405.8776983367 0.275701948567099
17615.5403597104 0.234604006918482
19694.260365169 0.241517556482514
18170.1604284019 0.20979878321862
16341.8446204851 0.312442594230926
16904.1275295906 0.354510558484589
11355.2170268282 0.314887115753944
8010.96094812525 0.33896250099376
6128.44883636456 0.360048496736231
